Numero de Particulas,Tiempo
100,1.1822102069854736
200,4.767470359802246
300,11.122391700744629
400,18.986358880996704
500,29.15854811668396
600,42.890400409698486
700,55.80461549758911
800,78.34346342086792
900,97.71597909927368
1000,111.26993870735168
