Numero de Particulas,Tiempo
100,0.027431726455688477
200,0.030019760131835938
300,0.03287839889526367
400,0.03654003143310547
500,0.040265798568725586
600,0.04331040382385254
700,0.04884982109069824
800,0.053601980209350586
900,0.05047798156738281
1000,0.051033973693847656
1100,0.05376434326171875
1200,0.056466102600097656
1300,0.059853315353393555
1400,0.06252312660217285
1500,0.06573820114135742
1600,0.06926131248474121
1700,0.07124018669128418
1800,0.07387828826904297
1900,0.07704854011535645
2000,0.08023357391357422
2100,0.08357477188110352
2200,0.08571410179138184
2300,0.08896446228027344
2400,0.09179234504699707
2500,0.09500265121459961
2600,0.09923100471496582
2700,0.10140395164489746
2800,0.10283470153808594
2900,0.10626029968261719
3000,0.10944795608520508
3100,0.11297440528869629
3200,0.11487126350402832
3300,0.11848926544189453
3400,0.12080788612365723
3500,0.1241602897644043
3600,0.12706494331359863
3700,0.1300046443939209
3800,0.1331157684326172
3900,0.13637971878051758
4000,0.13910365104675293
4100,0.14053750038146973
4200,0.1434156894683838
4300,0.14774847030639648
4400,0.15019440650939941
4500,0.1533055305480957
4600,0.15639376640319824
4700,0.1606438159942627
4800,0.16239237785339355
4900,0.1652388572692871
5000,0.16782832145690918
5100,0.17188382148742676
5200,0.17479658126831055
5300,0.17752671241760254
5400,0.18067312240600586
5500,0.18345069885253906
5600,0.18590283393859863
5700,0.18908357620239258
5800,0.19193387031555176
5900,0.19418048858642578
6000,0.1982097625732422
6100,0.20031023025512695
6200,0.2034132480621338
6300,0.20515179634094238
6400,0.2102346420288086
6500,0.21149110794067383
6600,0.2164173126220703
6700,0.21982502937316895
6800,0.22220492362976074
6900,0.22517919540405273
7000,0.227278470993042
7100,0.23044490814208984
7200,0.23421239852905273
7300,0.23575091361999512
7400,0.23968029022216797
7500,0.24207091331481934
7600,0.2447049617767334
7700,0.24921917915344238
7800,0.24967718124389648
7900,0.25411224365234375
8000,0.25704479217529297
8100,0.25901150703430176
8200,0.26523852348327637
8300,0.26645398139953613
8400,0.2684605121612549
8500,0.27359867095947266
8600,0.2765696048736572
8700,0.2788875102996826
8800,0.2805819511413574
8900,0.28383827209472656
9000,0.2872321605682373
9100,0.2908041477203369
9200,0.2930779457092285
9300,0.29625511169433594
9400,0.29961323738098145
9500,0.30185818672180176
9600,0.3023257255554199
9700,0.3082699775695801
9800,0.3106842041015625
9900,0.31488537788391113
10000,0.3171243667602539
